"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",6,"AFG","Afghanistan","0.04",2017,"","Afghanistan Telecom Regulatory Authority","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",6,"AFG","Afghanistan","0.0614591",2018,"","Afghanistan Telecommunication Regulatory Authority.","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",6,"AFG","Afghanistan","0.121587",2019,"","Afghanistan Telecommunication Regulatory Authority.","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",6,"AFG","Afghanistan","0.185044",2020,"","Afghanistan Telecommunication Regulatory Authority.","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",6,"AFG","Afghanistan","0.224055",2022,"","Afghanistan Telecommunication Regulatory Authority.","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",7,"ZAF","South Africa","0.0389774",2014,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",7,"ZAF","South Africa","0.1",2015,"We have a significance increaser because all major operators have reported on this indicator.","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",7,"ZAF","South Africa","0.179458",2016,"in Megabytes","Independent Communication Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",7,"ZAF","South Africa","0.371058",2017,"in Megabytes","Independent Communication Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",7,"ZAF","South Africa","0.857343",2018,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",7,"ZAF","South Africa","0.934602",2019,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",7,"ZAF","South Africa","1.60441",2020,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",7,"ZAF","South Africa","1.93313",2021,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)","","exabytes",7,"ZAF","South Africa","2.60444",2022,"","Independent Communications Authority of South Africa","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
